Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00213761022816963","0,00228561905822553","0,00861477558647458",0,0,0,"1,00466079013621","0,0028152824464505","-4,19555891033683E-05","-1,40506505686895E-05","0,00432425017311337","-1,47215624900376E-05","0,00688810240477218",0,0,0,0,0,0,package://ScanBot__f/meshes/base_link.STL,"0,854901960784314","0,854901960784314","0,854901960784314",1,0,0,0,0,0,0,package://ScanBot__f/meshes/base_link.STL,,Chasis-1;Geared DC motor with encoder - TS-25GA370H (12V 150RPM) (2).step-1;Geared DC motor with encoder - TS-25GA370H (12V 150RPM) (2).step-2;Rodamiento-2;Rodamiento-1;OAK-D-parts-14sep2020.stp-4;AM2302-DHT22 temperature sensor.step-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand_15x2.igs.STEP-3;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand_15x2.igs.STEP-4;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand_15x2.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/devboard.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand_15x2.igs.STEP-2;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand-8x2.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand-8x2.igs.STEP-2;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand-8x2.igs.STEP-3;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/connector-7pin-2_5.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/motor.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/connector-1_25-3pin.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/stand-8x2.igs.STEP-4;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/base.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/bottom-lid.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/wheel.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/rubber.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/head.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/head-base.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/motor-board.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/connector-1_25-4pin.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/motherboard.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/detector.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/laser-mount.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/laser.igs.STEP-1;LIDAR_Model-1/12.STEP-1/RP-lidar-A1.igs.STEP-1/detector-mount.igs.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Gear_link,"-2,2077E-10","-3,7071E-10","-0,00023041",0,0,0,"0,033382","1,5169E-05","1,8932E-13","-2,8593E-15","1,5169E-05","1,6361E-16","2,5752E-05",0,0,0,0,0,0,package://ScanBot__f/meshes/Left_Gear_link.STL,1,"0,71765","0,96863",1,0,0,0,0,0,0,package://ScanBot__f/meshes/Left_Gear_link.STL,,Rueda_con_Acople.STEP-2/________.STEP-1;Rueda_con_Acople.STEP-2/____.STEP-1,Origin_Left_Gear_joint,Axis_Left_Gear_joint,Left_Gear_joint,continuous,"0,06669","0,10582","-0,0298","1,5708",0,"3,1416",base_link,0,0,1,100,100,,,,,"0,1","0,1",,,,
Right_Gear_link,"3,8127E-10","-2,02E-10","-0,00023041",0,0,0,"0,033382","1,5169E-05","-1,781E-13","-2,074E-17","1,5169E-05","-2,8639E-15","2,5752E-05",0,0,0,0,0,0,package://ScanBot__f/meshes/Right_Gear_link.STL,1,"0,71765","0,96863",1,0,0,0,0,0,0,package://ScanBot__f/meshes/Right_Gear_link.STL,,Rueda_con_Acople.STEP-1/________.STEP-1;Rueda_con_Acople.STEP-1/____.STEP-1,Origin_Right_Gear_joint,Axis_Right_Gear_joint,Right_Gear_joint,continuous,"0,06669","-0,10418","-0,0298","1,5708",0,0,base_link,0,0,1,100,100,,,,,"0,1","0,1",,,,
Left_Scatter_Gear_link,"-4,2724E-10","-6,1354E-12","0,01292",0,0,0,"0,033382","1,5169E-05","7,6907E-15","-1,3341E-15","1,5169E-05","3,9235E-15","2,5752E-05",0,0,0,0,0,0,package://ScanBot__f/meshes/Left_Scatter_Gear_link.STL,1,"0,71765","0,96863",1,0,0,0,0,0,0,package://ScanBot__f/meshes/Left_Scatter_Gear_link.STL,,Rueda_con_Acople.STEP-3/________.STEP-1;Rueda_con_Acople.STEP-3/____.STEP-1,Origin_Left_Scatter_Gear_joint,Axis_Left_Scatter_Gear_joint,Left_Scatter_Gear_joint,continuous,"-0,09031","0,094319","-0,0298","1,5708",0,"3,1416",base_link,0,0,1,100,100,,,,,"0,1","0,1",,,,
Right_Scatter_Gear_link,"3,5702E-10","2,3392E-10","0,01292",0,0,0,"0,033382","1,5169E-05","2,0131E-13","1,9069E-15","1,5169E-05","1,2837E-15","2,5752E-05",0,0,0,0,0,0,package://ScanBot__f/meshes/Right_Scatter_Gear_link.STL,1,"0,71765","0,96863",1,0,0,0,0,0,0,package://ScanBot__f/meshes/Right_Scatter_Gear_link.STL,,Rueda_con_Acople.STEP-4/________.STEP-1;Rueda_con_Acople.STEP-4/____.STEP-1,Origin_Right_Scatter_Gear_joint,Axis_Right_Scatter_Gear_joint,Right_Scatter_Gear_joint,continuous,"-0,09031","-0,092781","-0,0298","1,5708","-0,082932",0,base_link,0,0,1,100,100,,,,,"0,1","0,1",,,,
